Name,Address,Post Town,Postcode,Type,Lat,Long
Admiral Street Police Station,Admiral Street,Merseyside,L8 8JN,Police Station,53.38735,-2.96292
Aintree Fire Station,Longmoor Lane Liverpool,Merseyside,L9 0EN,Fire Station,53.46617,-2.95035
Bebington Police Station,Civic Way,Merseyside,CH63 7SF,Police Station,53.35008,-3.00617
Birkenhead Fire Station,Exmouth St Liverpool,Merseyside,CH41 4AX,Fire Station,53.39288,-3.027892
Birkenhead Police Station,Mortimer Street,Merseyside,CH41 5EU,Police Station,53.39339,-3.01395
Bootle Fire Station,Buckley Hill Bootle,Merseyside,L29 1YB,Fire Station,53.49327,-2.98618
Bromborough Fire Station,"Dock Road, Wirral",Merseyside,CH62 4SO,Fire Station,53.426521,-3.066215
City Centre Fire Station,St Annes St Liverpool,Merseyside,L3 3DS,Fire Station,53.41238,-2.97646
Crosby Police Station,Alexandra Road,Merseyside,L22 1RX,Police Station,53.47232,-3.02135
Croxteth Fire Station,Storrington Ave Liverpool,Merseyside,L11 9AP,Fire Station,53.45038,-2.91139
Heswall Fire Station,"Telegraph Road, Wirral",Merseyside,CH60 0AF,Fire Station,53.32775,-3.09835
Huyton Police Station,Lathom Road,Merseyside,L36 9XU,Police Station,53.4115,-2.83731
Kensington Fire Station,Beech St Liverpool,Merseyside,L7 0EY,Fire Station,53.41141,-2.94417
Kirkby Custody (Part of Police Station),St.Chads Drive,Merseyside,L32 8RF,Police Station,53.48194,-2.88345
Kirkby Fire Station,Webster Drive Liverpool,Merseyside,L32 8SJ,Fire Station,53.48166,-2.88258
Kirkby Police Station,St.Chads Drive,Merseyside,L32 8RF,Police Station,53.48194,-2.88345
Marine Fire 1 Fire Station,Pier Head,Merseyside,L3 1DP,Fire Station,53.4046,-2.99716
Marsh Lane Police Station,Marsh Lane,Merseyside,L20 5BW,Police Station,53.45393,-2.99286
Newton Le Willows Police Station,Market Street,Merseyside,WA12 9BW,Police Station,53.45364,-2.64383
Old Swan Fire Station,Queens Drive Liverpool,Merseyside,L13 5UD,Fire Station,53.41675,-2.90721
Prescot Fire Station,"Manchester Road, Prescot",Merseyside,L34 1AD,Fire Station,53.42406,-2.80541
Speke and Garston Fire Station,Cartwrights Farm Road,Merseyside,L18 6HE,Fire Station,53.38236,-2.90741
Speke Police Station,Ganworth Road,Merseyside,L24 2XG,Police Station,53.34228,-2.83762
St Helens Fire Station,"Violet Way, St Helens",Merseyside,WA9 1HW,Fire Station,53.44786,-2.73481
St. Anne Street Police Station,St. Anne Street,Merseyside,L3 3HJ,Police Station,53.41436,-2.97903
St. Helens Police Station,College Street,Merseyside,WA10 1TG,Police Station,53.45605,-2.73722
Stanley Road Police Station,Stanley Road,Merseyside,L5 7QQ,Police Station,53.4299,-2.98294
Toxteth Fire Station,Windsor St Liverpool,Merseyside,L8 8ET,Fire Station,53.4104,-2.9713
Wallasey Fire Station,Mill Lane Wirral,Merseyside,CH44 5UE,Fire Station,53.41691,-3.04605
Wallasey Police Station,Manor Road,Merseyside,CH44 1DA,Police Station,53.4222,-3.04061
Walton Lane Police Station,Walton Lane,Merseyside,L4 5XF,Police Station,53.44227,-2.96057
